Name,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths
Plains/East/Northeast Derecho (June-July 2012),Severe Storm,2012-06-29,2012-07-02,3986.0,2888.4,28
Hurricane Isaac (August 2012),Tropical Cyclone,2012-08-26,2012-08-31,3786.1,2763.5,9
Hurricane Sandy (October 2012),Tropical Cyclone,2012-10-30,2012-10-31,88453.9,65039.6,159
Western Wildfires (Summer-Fall 2012),Wildfire,2012-06-01,2012-11-30,2399.2,1738.5,8
U.S. Drought/Heat Wave (2012),Drought,2012-01-01,2012-12-31,41705.2,30003.6,123
Southern Severe Weather (February 2013),Severe Storm,2013-02-24,2013-02-25,1253.9,922.0,1
Southeast Severe Weather (March 2013),Severe Storm,2013-03-18,2013-03-18,2747.2,2020.0,1
Midwest/Plains Severe Weather (April 2013),Severe Storm,2013-04-07,2013-04-11,1963.8,1444.0,1
Illinois Flooding and Severe Weather (April 2013),Flooding,2013-04-16,2013-04-19,1464.7,1077.0,4
Midwest/Plains/East Tornadoes (May 2013),Severe Storm,2013-05-18,2013-05-22,3240.5,2400.3,27
Midwest/Plains/Northeast Tornadoes (May 2013),Severe Storm,2013-05-27,2013-05-31,2448.4,1813.5,10
Midwest Severe Weather (August 2013),Severe Storm,2013-08-06,2013-08-07,1406.7,1041.9,0
Colorado Flooding (September 2013),Flooding,2013-09-10,2013-09-16,2036.5,1508.5,9
Ohio Valley Tornadoes (November 2013),Severe Storm,2013-11-17,2013-11-17,1472.2,1090.6,8
Western/Plains Drought/Heat Wave (Spring-Fall 2013),Drought,2013-03-01,2013-11-30,14283.6,10425.9,53
Midwest/Southeast/Northeast Winter Storm (January 2014),Winter Storm,2014-01-05,2014-01-08,2933.4,2172.7,16
Plains Severe Weather (April 2014),Severe Storm,2014-04-02,2014-04-03,1908.1,1424.0,0
Central Severe Weather (April 2014),Severe Storm,2014-04-12,2014-04-13,1221.1,918.0,0
Midwest/Southeast/Northeast Tornadoes and Flooding (April 2014),Severe Storm,2014-04-27,2014-05-01,2309.2,1736.1,33
Center Severe Weather (May 2014),Severe Storm,2014-05-10,2014-05-14,1134.5,853.0,0
Rockies/Midwest/Eastern Severe Weather (May 2014),Severe Storm,2014-05-18,2014-05-23,4938.6,3713.2,0
Rockies/Central Plains Severe Weather (June 2014),Severe Storm,2014-06-03,2014-06-05,2533.4,1919.2,2
Michigan and Northeast Flooding (August 2014),Flooding,2014-08-11,2014-08-13,1361.9,1031.7,2
Rockies/Plains Severe Weather (September 2014),Severe Storm,2014-09-29,2014-10-02,1862.6,1400.4,0
Western Drought (2014),Drought,2014-01-01,2014-12-31,5334.8,3951.7,0
"Central and Eastern Winter storm, Cold Wave (February 2015)",Winter Storm,2015-02-14,2015-02-20,3969.3,2962.1,30
Midwest/Ohio Valley Severe Weather (April 2015),Severe Storm,2015-04-07,2015-04-09,2069.0,1555.6,2
South/Southeast Severe Weather (April 2015),Severe Storm,2015-04-18,2015-04-20,1707.6,1283.9,0
South and Southeast Severe Weather (April 2015),Severe Storm,2015-04-24,2015-04-25,1255.8,944.0,3
Southern Plains Tornadoes (May 2015),Severe Storm,2015-05-06,2015-05-10,1691.9,1272.1,4
Texas and Oklahoma Flooding and Severe Weather (May 2015),Flooding,2015-05-23,2015-05-26,3375.6,2500.4,31
Central and Northeast Severe Weather (June 2015),Severe Storm,2015-06-21,2015-06-25,1547.1,1172.0,1
South Carolina and East Coast Flooding (October 2015),Flooding,2015-10-01,2015-10-05,2657.6,1998.2,25
Western and Alaskan Wildfires (Summer-Fall 2015),Wildfire,2015-06-01,2015-11-30,3996.9,3028.0,12
Texas Tornadoes and Midwest Flooding (December 2015),Severe Storm,2015-12-26,2015-12-29,2609.3,1961.9,50
Western Drought (2015),Drought,2015-01-01,2015-12-31,6029.3,4466.0,0
Southeast and Eastern Tornadoes (February 2016),Severe Storm,2016-02-22,2016-02-24,1383.5,1040.0,10
Texas and Louisiana Flooding (March 2016),Flooding,2016-03-08,2016-03-12,3052.1,2294.8,5
Southern Severe Weather (March 2016),Severe Storm,2016-03-17,2016-03-18,1609.8,1210.3,1
North Texas Hail Storm (March 2016),Severe Storm,2016-03-23,2016-03-24,2746.1,2064.8,0
North/Central Texas Hail Storm (April 2016),Severe Storm,2016-04-10,2016-04-12,4618.1,3498.6,0
Houston Flooding (April 2016),Flooding,2016-04-17,2016-04-18,3559.1,2676.0,8
South/Southeast Tornadoes (April 2016),Severe Storm,2016-04-26,2016-05-02,3160.8,2394.5,6
Plains Tornadoes and Central Severe Weather (May 2016),Severe Storm,2016-05-08,2016-05-11,2252.9,1719.6,2
Rockies/Central Tornadoes and Severe Weather (May 2016),Severe Storm,2016-05-21,2016-05-26,1501.5,1146.3,0
West Virginia Flooding and Ohio Valley Tornadoes (June 2016),Flooding,2016-06-22,2016-06-24,1288.5,968.8,23
Rockies and Northeast Severe Weather (July 2016),Severe Storm,2016-07-28,2016-07-30,1920.0,1465.6,0
Louisiana Flooding (August 2016),Flooding,2016-08-12,2016-08-15,13300.0,10000.0,13
Hurricane Matthew (October 2016),Tropical Cyclone,2016-10-08,2016-10-12,13100.0,10000.0,49
Western/Southeast Wildfires (Summer-Fall 2016),Wildfire,2016-06-01,2016-12-31,3137.5,2395.0,21
West/Northeast/Southeast Drought (2016),Drought,2016-01-01,2016-12-31,4580.0,3443.5,0
Southern Tornado Outbreak and Western Storms (January 2017),Severe Storm,2017-01-20,2017-01-22,1436.5,1105.0,24
California Flooding (February 2017),Flooding,2017-02-08,2017-02-22,1950.0,1500.0,5
Central/Southeast Tornado Outbreak (March 2017),Severe Storm,2017-02-28,2017-03-01,2347.8,1806.0,6
Midwest Tornado Outbreak (March 2017),Severe Storm,2017-03-06,2017-03-08,2828.8,2176.0,2
Southeast Freeze (March 2017),Freeze,2017-03-14,2017-03-16,1300.0,1000.0,0
South/Southeast Severe Weather (March 2017),Severe Storm,2017-03-26,2017-03-28,3476.6,2695.0,0
Southeast Severe Weather and Tornadoes (April 2017),Severe Storm,2017-04-04,2017-04-06,1259.2,976.0,1
South and Southeast Severe Weather (April 2017),Severe Storm,2017-04-20,2017-04-22,1152.0,893.0,0
Missouri and Arkansas Flooding and Central Severe Weather (May 2017),Flooding,2017-04-25,2017-05-07,2156.7,1659.0,20
Colorado Hail Storm and Central Severe Weather (May 2017),Severe Storm,2017-05-08,2017-05-11,4321.5,3350.0,0
North Central Severe Weather and Tornadoes (May 2017),Severe Storm,2017-05-15,2017-05-18,1214.1,941.0,1
Minnesota Hail Storm and Upper Midwest Severe Weather (June 2017),Severe Storm,2017-06-09,2017-06-11,3031.5,2350.0,0
Midwest Severe Weather (June 2017),Severe Storm,2017-06-12,2017-06-16,1946.7,1509.0,0
Midwest Severe Weather (June 2017),Severe Storm,2017-06-27,2017-06-29,1838.3,1425.0,0
Hurricane Harvey (August 2017),Tropical Cyclone,2017-08-25,2017-08-31,160000.0,125000.0,89
Hurricane Irma (September 2017),Tropical Cyclone,2017-09-06,2017-09-12,64000.0,50000.0,97
Hurricane Maria (September 2017),Tropical Cyclone,2017-09-19,2017-09-21,115200.0,90000.0,2981
"Western Wildfires, California Firestorm (Summer-Fall 2017)",Wildfire,2017-06-01,2017-12-31,23226.5,18005.0,54
"North Dakota, South Dakota and Montana Drought (Spring-Fall 2017)",Drought,2017-03-01,2017-12-31,3250.0,2500.0,0
Central and Eastern Winter Storm (January 2018),Winter Storm,2018-01-03,2018-01-05,1324.6,1043.0,22
Northeast Winter Storm (March 2018),Winter Storm,2018-03-01,2018-03-03,2786.4,2194.0,9
Southeastern Tornadoes and Severe Weather (March 2018),Severe Storm,2018-03-18,2018-03-21,1844.1,1452.0,0
Southern and Eastern Tornadoes and Severe Weather (April 2018),Severe Storm,2018-04-13,2018-04-16,1660.7,1318.0,3
Central and Northeast Severe Weather (May 2018),Severe Storm,2018-05-01,2018-05-04,1751.3,1390.0,0
Central and Eastern Severe Weather (May 2018),Severe Storm,2018-05-13,2018-05-15,1726.2,1370.0,5
Texas Hail Storm (June 2018),Severe Storm,2018-06-06,2018-06-06,1625.0,1300.0,0
Colorado Hail Storm (June 2018),Severe Storm,2018-06-13,2018-06-13,1193.8,955.0,0
Colorado Hail Storm (June 2018),Severe Storm,2018-06-18,2018-06-19,2778.8,2223.0,0
Central and Eastern Tornadoes and Severe Weather (July 2018),Severe Storm,2018-07-19,2018-07-22,1981.6,1585.0,0
Mountain West Severe Weather (July 2018),Severe Storm,2018-07-26,2018-07-29,1063.8,851.0,0
Rockies and Plains Hail Storms (August 2018),Severe Storm,2018-08-06,2018-08-07,1281.4,1025.0,0
Hurricane Florence (September 2018),Tropical Cyclone,2018-09-13,2018-09-16,30000.0,24000.0,53
Hurricane Michael (October 2018),Tropical Cyclone,2018-10-10,2018-10-11,31218.8,24975.0,49
Southwest/Southern Plains Drought (Summer-Fall 2018),Drought,2018-06-01,2018-12-30,3797.4,2990.0,0
"Western Wildfires, California Firestorm (Summer-Fall 2018)",Wildfire,2018-06-01,2018-12-31,30000.0,24000.0,106
